region,week,positivity_rate,sample_size
tx,44,0.202841,17245
tx,45,0.204023,20331
tx,46,0.205991,21166
tx,47,0.183436,22144
tx,48,0.196853,22245
tx,49,0.196519,25570
tx,50,0.211077,29269
tx,51,0.210341,46206
tx,52,0.213306,47181
va,1,0.308257,20311
va,2,0.305361,17124
va,3,0.282156,12486
va,4,0.281925,11613
va,5,0.259227,11650
va,6,0.222502,11119
va,7,0.211376,10162
va,8,0.235398,8492
va,9,0.197888,7858
va,10,0.170915,6395
va,11,0.164273,5223
va,12,0.160403,5056
va,13,0.1595,4163
va,14,0.129809,3613
va,15,0.131762,3309
va,16,0.122384,3154
va,17,0.130651,2809
va,18,0.170895,2247
va,19,0.182983,1951
va,20,0.147878,1508
va,21,0.165154,1102
va,22,0.212746,1067
va,23,0.175109,1382
va,24,0.217147,1423
va,25,0.217767,1272
va,26,0.27286,1367
va,27,0.28508,1126
va,28,0.357696,1163
va,29,0.359461,1633
va,30,0.360777,2162
va,31,0.358209,2613
va,32,0.37583,3161
va,33,0.366027,3232
va,34,0.369212,3196
va,35,0.347029,3602
va,36,0.297307,2933
va,37,0.307948,3309
va,38,0.252567,4090
va,39,0.235493,3843
va,40,0.250078,3207
va,41,0.190118,3056
va,42,0.193208,3504
va,43,0.210592,3191
va,44,0.172777,2755
va,45,0.180994,2536
va,46,0.218539,3107
va,47,0.197151,2597
va,48,0.246535,3752
va,49,0.25785,4204
va,50,0.236613,4949
va,51,0.245702,8958
va,52,0.252698,10194
wa,1,0.313639,6364
wa,2,0.292461,5929
wa,3,0.291895,5848
wa,4,0.309432,5704
wa,5,0.3157,6484
wa,6,0.288484,6087
wa,7,0.264867,5852
wa,8,0.20761,4836
wa,9,0.208533,4805
wa,10,0.204567,4248
wa,11,0.219134,4317
wa,12,0.242019,3665
wa,13,0.193968,4078
wa,14,0.168834,4691
wa,15,0.168979,4397
wa,16,0.167243,3468
wa,17,0.127363,2222
wa,18,0.155569,1607
wa,19,0.184494,1393
wa,20,0.219556,1125
wa,21,0.218204,802
wa,22,0.192405,790
wa,23,0.29007,1279
wa,24,0.319646,1242
wa,25,0.325318,1414
wa,26,0.31493,1286
wa,27,0.375475,1052
wa,28,0.378552,1091
wa,29,0.336502,1052
wa,30,0.296496,371
wa,31,0.446731,826
wa,32,0.438999,959
wa,33,0.411765,1207
wa,34,0.376497,1336
wa,35,0.429801,1510
wa,36,0.409294,1119
wa,37,0.346423,1859
wa,38,0.328784,2491
wa,39,0.279211,2790
wa,40,0.25948,2848
wa,41,0.255614,2672
wa,42,0.238264,1981
wa,43,0.238462,1690
wa,44,0.217169,1759
wa,45,0.225694,1728
wa,46,0.233983,1436
wa,47,0.267241,1624
wa,48,0.239548,1770
wa,49,0.254902,2040
wa,50,0.221016,2027
wa,51,0.248799,2705
wa,52,0.283634,3159
wi,1,0.343296,16161
wi,2,0.331386,13694
wi,3,0.322132,10356
wi,4,0.301501,10126
wi,5,0.31595,10853
wi,6,0.292091,10507
wi,7,0.27991,10214
wi,8,0.249726,9134
wi,9,0.306969,8825
wi,10,0.282723,7976
wi,11,0.279717,7218
wi,12,0.274767,7086
wi,13,0.275891,6064
wi,14,0.277921,5444
wi,15,0.243169,4392
wi,16,0.23998,4092
wi,17,0.218703,3347
wi,18,0.243425,3422
wi,19,0.269701,2944
wi,20,0.223068,1708
wi,21,0.228089,947
wi,22,0.217877,716
wi,23,0.204449,944
wi,24,0.179512,1025
wi,25,0.220028,709
wi,26,0.226347,835
wi,27,0.308756,1085
wi,28,0.352884,1023
wi,29,0.354122,1395
wi,30,0.395567,1489
wi,31,0.394619,1338
wi,32,0.376891,1653
wi,33,0.379041,1918
wi,34,0.392363,2383
wi,35,0.419833,2158
wi,36,0.380012,1621
wi,37,0.337942,2459
wi,38,0.293959,3327
wi,39,0.286002,3979
wi,40,0.269441,3652
wi,41,0.243831,3404
wi,42,0.289572,2666
wi,43,0.302317,2676
wi,44,0.275136,2566
wi,45,0.313893,3052
wi,46,0.310927,3615
wi,47,0.337087,4085
wi,48,0.357657,4303
wi,49,0.349602,4651
wi,50,0.360492,4308
wi,51,0.345809,6920
wi,52,0.327951,5760
