region,date,positivity_rate,test_count
national,2021-05-07,0.09788568964100879,194768
national,2021-05-08,0.08522257542413339,85881
national,2021-05-09,0.08321362250797099,85623
national,2021-05-10,0.08004245507447938,81969
national,2021-05-11,0.07543451450076923,78651
national,2021-05-12,0.07173913043478261,75440
national,2021-05-13,0.06774921439151681,72237
national,2021-05-14,0.06369269973648395,69066
national,2021-05-15,0.059944188852854664,66295
national,2021-05-16,0.06179017342458361,81534
national,2021-05-17,0.06220019187719859,100064
national,2021-05-18,0.06242251578420184,121799
national,2021-05-19,0.06118872505894359,142085
national,2021-05-20,0.059441054595383375,162413
national,2021-05-21,0.05889073478196078,181183
national,2021-05-22,0.05861486229313521,197049
national,2021-05-23,0.05573051747560825,194328
national,2021-05-24,0.05351543373857966,191982
national,2021-05-25,0.050446964784914804,188158
national,2021-05-26,0.048103825516640004,186929
national,2021-05-27,0.046433450012806285,187408
national,2021-05-28,0.0442868291543456,188363
national,2021-05-29,0.04274197420862522,187427
national,2021-05-30,0.041124326156257614,188842
national,2021-05-31,0.04033870899110676,164507
national,2021-06-01,0.06544316703582603,284430
national,2021-06-02,0.06516839284917887,291491
national,2021-06-03,0.06495562614563537,296233
national,2021-06-04,0.06443971253659835,300560
national,2021-06-05,0.06371467078149111,307182
national,2021-06-06,0.06388265624296818,311086
national,2021-06-07,0.06148337866336139,340466
national,2021-06-08,0.03980413977298019,224650
national,2021-06-09,0.038795447130894986,220696
national,2021-06-10,0.037090115620564836,216311
national,2021-06-11,0.035979645207277124,211842
national,2021-06-12,0.03479254672761993,207372
national,2021-06-13,0.033289294677543727,203609
national,2021-06-14,0.03269449829133276,200156
national,2021-06-15,0.0315511187326474,195936
national,2021-06-16,0.03075032663472905,192876
national,2021-06-17,0.03056461443887598,191954
national,2021-06-18,0.030259313271967927,191313
national,2021-06-19,0.030581746552856205,190375
national,2021-06-20,0.03101562954847383,188937
national,2021-06-21,0.030951673808816665,188552
national,2021-06-22,0.031629951281508153,188840
national,2021-06-23,0.03181366958137963,189384
national,2021-06-24,0.03309567218523909,190327
national,2021-06-25,0.034241485420024705,191084
national,2021-06-26,0.035119407024922444,192116
national,2021-06-27,0.036333557677981514,194641
national,2021-06-28,0.03785387638988728,196149
national,2021-06-29,0.03951170876626499,197587
national,2021-06-30,0.04145997887005081,198770
national,2021-07-01,0.06563526904908605,311616
national,2021-07-02,0.06691001009214982,318069
national,2021-07-03,0.06841819604675232,316904
national,2021-07-04,0.07090764774122643,294806
national,2021-07-05,0.0722066904463511,311190
national,2021-07-06,0.0757804358805516,312838
national,2021-07-07,0.07965142218861046,316027
national,2021-07-08,0.07130069014640344,207782
national,2021-07-09,0.07783209718119005,208847
national,2021-07-10,0.08327632981074831,214899
national,2021-07-11,0.0866452902473557,240140
national,2021-07-12,0.09494977233669366,225772
national,2021-07-13,0.10009550765151481,229301
national,2021-07-14,0.10502403286073021,231766
national,2021-07-15,0.11055961277173913,235520
national,2021-07-16,0.11621861473673635,238886
national,2021-07-17,0.12034365269558696,245364
national,2021-07-18,0.12528714272723318,252923
national,2021-07-19,0.13037048359669068,261685
national,2021-07-20,0.134999601429058,275986
national,2021-07-21,0.13956510409523548,291656
national,2021-07-22,0.14326165049332748,307605
national,2021-07-23,0.1462963822969396,322995
national,2021-07-24,0.1501900971673596,337459
national,2021-07-25,0.15433771003476535,351787
national,2021-07-26,0.15866382072756108,368244
national,2021-07-27,0.16261188980684832,385759
national,2021-07-28,0.16487225487163626,404125
national,2021-07-29,0.16646044435191384,422683
national,2021-07-30,0.16780838974033913,441730
national,2021-07-31,0.16766814252582754,455328
national,2021-08-01,0.1559229738015318,577362
national,2021-08-02,0.15640280418449992,596965
national,2021-08-03,0.1563345846820516,611074
national,2021-08-04,0.1556543010682732,614824
national,2021-08-05,0.15508216656967408,613449
national,2021-08-06,0.1534081665853262,608553
national,2021-08-07,0.15256521207840013,597397
national,2021-08-08,0.16180434737040686,477070
national,2021-08-09,0.161455215685599,464426
national,2021-08-10,0.1619337488051657,448807
national,2021-08-11,0.16216543207058312,438065
national,2021-08-12,0.1634340471842547,433704
national,2021-08-13,0.1668687650699338,428834
national,2021-08-14,0.16840375597922566,424177
national,2021-08-15,0.16964661785793725,422602
national,2021-08-16,0.17073828488158913,422723
national,2021-08-17,0.17068335353421465,425724
national,2021-08-18,0.1702850068302037,429709
national,2021-08-19,0.17066233706416103,434220
national,2021-08-20,0.169664248124663,439521
national,2021-08-21,0.1686748362396844,438293
national,2021-08-22,0.16799637227460223,434432
national,2021-08-23,0.16701000177104985,429124
national,2021-08-24,0.16586263228241968,417478
national,2021-08-25,0.16593444395301982,406980
national,2021-08-26,0.1647351675281616,388472
national,2021-08-27,0.1639752453705942,372294
national,2021-08-28,0.16371616516904616,361351
national,2021-08-29,0.16200399087799316,350800
national,2021-08-30,0.15995878813217662,334855
national,2021-08-31,0.1584201388888889,317952
national,2021-09-01,0.14409080051249012,414447
national,2021-09-02,0.14261688694787916,408493
national,2021-09-03,0.1405517052594906,401845
national,2021-09-04,0.14082227648992626,413997
national,2021-09-05,0.14094119533032834,424184
national,2021-09-06,0.13749496118822935,386996
national,2021-09-07,0.14184107903116167,419265
national,2021-09-08,0.15600889198952353,338282
national,2021-09-09,0.15552240795986733,360006
national,2021-09-10,0.15664814902742827,379098
national,2021-09-11,0.15670336561009293,385933
national,2021-09-12,0.15715773113428197,397626
national,2021-09-13,0.1592158370171055,468270
national,2021-09-14,0.15517055210567435,472319
national,2021-09-15,0.15114435914623092,474414
